employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
787,4.0,10,45,1944.0,7,312,138050.0,2,0,1,0,0,0,1,0
1051,3.7,13,12,1988.0,7,312,129200.0,2,0,1,0,0,0,1,0
285,3.7,10,45,1979.0,6,312,101000.0,2,0,1,0,0,0,1,0
53,3.3,5,6,1935.0,3,73,127549.0,2,1,0,0,0,0,1,0
723,4.5,24,77,1986.0,0,331,187795.2,3,0,1,0,0,0,1,0
527,3.2,10,45,1981.0,9,306,108046.0,2,1,0,0,0,0,1,0
331,4.0,24,77,1986.0,0,8,100000.0,2,0,1,0,0,0,1,0
531,4.7,24,77,1986.0,0,13,120000.0,3,0,1,0,0,0,1,0
1095,4.1,3,16,1965.0,5,236,71500.0,3,0,1,0,0,0,1,0
40,5.0,24,77,1986.0,0,312,110400.0,3,0,1,0,1,0,0,0
383,4.1,10,48,2013.0,0,108,133000.0,3,0,1,0,0,0,1,0
1131,3.9,24,77,1986.0,0,384,122500.0,2,0,1,0,0,0,1,0
698,4.6,10,18,1993.0,8,339,227750.0,3,0,1,0,0,0,1,0
399,3.8,10,45,2011.0,1,73,103020.0,2,1,0,0,0,0,1,0
995,4.1,15,1,1984.0,0,94,100000.0,3,0,1,0,1,0,0,0
560,3.7,24,77,1986.0,0,124,90765.0,2,1,0,0,0,0,1,0
905,4.1,4,29,1926.0,9,221,210000.0,3,0,1,0,0,0,1,0
230,2.8,14,21,2009.0,0,201,113750.0,1,0,1,0,0,0,1,0
557,4.7,10,45,2017.0,0,217,123065.0,3,1,0,1,0,0,0,0
1058,5.0,10,30,2017.0,2,33,195000.0,3,0,1,0,0,0,1,0
333,3.8,24,77,1986.0,0,312,145000.0,2,0,1,0,0,0,1,0
386,4.3,24,77,1986.0,0,30,111988.0,3,1,0,0,0,0,1,0
195,3.1,7,41,1963.0,9,252,129008.0,2,0,1,0,0,0,1,0
815,4.4,10,68,2019.0,0,334,106167.0,3,1,0,0,0,0,1,0
415,4.7,24,77,1986.0,0,315,121948.0,3,1,0,0,0,0,1,0
912,5.0,10,45,1986.0,0,312,195000.0,3,0,1,0,0,0,1,0
670,4.1,24,77,1986.0,0,285,72211.20000000001,3,0,1,0,0,0,1,0
1130,2.5,16,15,1986.0,3,312,86000.0,1,0,1,0,0,0,1,0
749,2.9,23,67,2003.0,7,68,96736.0,1,1,0,0,0,0,1,0
193,4.7,10,45,2018.0,0,41,150000.0,3,0,1,0,0,0,1,0
1168,3.6,23,67,2011.0,8,41,94761.0,2,1,0,0,0,0,1,0
984,3.8,6,56,2016.0,0,192,89179.0,2,1,0,0,0,0,1,0
929,4.7,10,18,2014.0,0,335,203250.0,3,0,1,1,0,0,0,0
