employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
788,4.0,10,45,1944.0,7,313,100000.0,176000.0,138050.0,2,0,1,0,0,0,1,0
1052,3.7,13,12,1988.0,7,313,76000.0,182000.0,129200.0,2,0,1,0,0,0,1,0
286,3.7,10,45,1979.0,6,313,93000.0,109000.0,101000.0,2,0,1,0,0,0,1,0
54,3.3,5,6,1935.0,3,73,115000.0,142000.0,127549.0,2,1,0,0,0,0,1,0
724,4.5,24,77,1986.0,0,332,172800.0,202809.6,187795.2,3,0,1,0,0,0,1,0
528,3.2,10,45,1981.0,9,307,93000.0,126000.0,108046.0,2,1,0,0,0,0,1,0
332,4.0,24,77,1986.0,0,8,100000.0,100000.0,100000.0,2,0,1,0,0,0,1,0
532,4.7,24,77,1986.0,0,13,110000.0,130000.0,120000.0,3,0,1,0,0,0,1,0
1096,4.1,3,16,1965.0,5,237,72000.0,72000.0,71500.0,3,0,1,0,0,0,1,0
41,5.0,24,77,1986.0,0,313,105600.0,115200.0,110400.0,3,0,1,0,1,0,0,0
384,4.1,10,48,2013.0,0,109,126000.0,140000.0,133000.0,3,0,1,0,0,0,1,0
1132,3.9,24,77,1986.0,0,385,110000.0,135000.0,122500.0,2,0,1,0,0,0,1,0
699,4.6,10,18,1993.0,8,340,168000.0,288000.0,227750.0,3,0,1,0,0,0,1,0
400,3.8,10,45,2011.0,1,73,87000.0,122000.0,103020.0,2,1,0,0,0,0,1,0
996,4.1,15,1,1984.0,0,94,90000.0,110000.0,100000.0,3,0,1,0,1,0,0,0
561,3.7,24,77,1986.0,0,125,77000.0,107000.0,90765.0,2,1,0,0,0,0,1,0
906,4.1,4,29,1926.0,9,222,190000.0,230000.0,210000.0,3,0,1,0,0,0,1,0
231,2.8,14,21,2009.0,0,202,110000.0,118000.0,113750.0,1,0,1,0,0,0,1,0
558,4.7,10,45,2017.0,0,218,104000.0,145000.0,123065.0,3,1,0,1,0,0,0,0
1059,5.0,10,30,2017.0,2,33,195000.0,195000.0,195000.0,3,0,1,0,0,0,1,0
