employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Cyberhill Partners LLC,1.0,,,,Unknown / Non-Applicable,Data Engineer / Data Scientist,"McLean, VA",107K,141K,"$122,757",/yr (Glassdoor est.)
CGL Companies,4.0,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,,$5 to $25 million (USD),Senior Research Scientist and Data Analyst,"Miami, FL",85K,117K,"$99,919",/yr (Glassdoor est.)
Michelin,4.1,Manufacturing,Machinery Manufacturing,1889,$10+ billion (USD),Quality Data Scientist,"Greenville, SC",93K,122K,"$106,750",/yr (Glassdoor est.)
Next Insurance,3.8,Insurance,Insurance Carriers,2016,Unknown / Non-Applicable,"Data Scientist, Analytics","Palo Alto, CA",136K,168K,"$151,056",/yr (Glassdoor est.)
Little Caesars/Blue Line Distribution,3.4,Restaurants & Food Service,Restaurants & Cafes,1959,Unknown / Non-Applicable,Data Scientist,"Detroit, MI",78K,113K,"$94,082",/yr (Glassdoor est.)
SET Solutions,4.6,Information Technology,Enterprise Software & Network Solutions,,$5 to $25 million (USD),Data Scientist,Remote,50.00,70.00,$60.00,/hr (Employer est.)
"Postal.io, Inc.",4.4,Information Technology,Software Development,2019,Unknown / Non-Applicable,Data Scientist,"San Luis Obispo, CA",86K,132K,"$106,167",/yr (Glassdoor est.)
Prodege LLC,3.4,Information Technology,Internet & Web Services,2005,Unknown / Non-Applicable,Sr. Data Analyst,"Mendota Heights, Dakota, MN",85K,140K,"$112,500",/yr (Employer est.)
"Government Consulting Solutions, LLC",5.0,,,,Unknown / Non-Applicable,Data Scientist,"Chantilly, VA",88K,126K,"$105,321",/yr (Glassdoor est.)
Design Interactive,4.5,Information Technology,Software Development,1998,$5 to $25 million (USD),Data Scientist,"Orlando, FL",80K,100K,"$90,000",/yr (Employer est.)
Cisco Meraki,4.0,Information Technology,Enterprise Software & Network Solutions,2006,Unknown / Non-Applicable,Senior Data Scientist,"San Francisco, CA",123K,231K,"$177,000",/yr (Employer est.)
The University of Pittsburgh,3.9,Education,Colleges & Universities,1787,Less than $1 million (USD),Data Scientist,"Pittsburgh, PA",66K,99K,"$81,020",/yr (Glassdoor est.)
University of Oklahoma,4.1,Education,Colleges & Universities,1890,$500 million to $1 billion (USD),Evaluation & Data Scientist,"Norman, OK",60K,70K,"$65,000",/yr (Employer est.)
iShare Inc,4.1,,,,Unknown / Non-Applicable,AWS Data Engineer,"Jersey City, NJ",50.00,60.00,$55.00,/hr (Employer est.)
Restaurant Depot,3.0,Retail & Wholesale,Wholesale,1990,$5 to $10 billion (USD),Data Scientist,"Whitestone, NY",70K,85K,"$77,500",/yr (Employer est.)
Buchanan And Edwards Group,4.1,Information Technology,Information Technology Support Services,1998,$25 to $100 million (USD),Data Scientist - SME,"McLean, VA",88K,127K,"$105,326",/yr (Glassdoor est.)
Porch,3.2,Information Technology,Enterprise Software & Network Solutions,2013,$25 to $100 million (USD),Data Scientist,"Seattle, WA",86K,127K,"$106,400",/yr (Employer est.)
Caterpillar,4.0,Manufacturing,Machinery Manufacturing,1925,$10+ billion (USD),Entry-Level Data Scientist,"Morton, IL",108K,138K,"$122,173",/yr (Glassdoor est.)
Disney,3.8,Media & Communication,Film Production,1923,$10+ billion (USD),Sr Data Scientist,"Lake Buena Vista, FL",109K,144K,"$125,122",/yr (Glassdoor est.)
Innovative Analytic Solutions,4.3,,,,,Sr. Data Analyst,"Washington, DC",85K,103K,"$94,060",/yr (Employer est.)
Zivahh,4.0,,,,Unknown / Non-Applicable,Data Scientist,"Peoria, IL",40.00,43.00,$41.50,/hr (Employer est.)
