employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician,average_base_salary
605,2.9,4,29,1986.0,0,218,103000.0,151000.0,1,1,0,0,1,0,0,0,124664.0
472,3.9,3,16,1957.0,0,26,61000.0,79000.0,2,0,1,0,0,0,1,0,69890.0
350,3.8,24,77,1986.0,0,333,295000.0,295000.0,2,0,1,1,0,0,0,0,295194.0
24,4.7,10,30,2019.0,0,332,150000.0,250000.0,3,0,1,0,0,0,1,0,200000.0
1081,3.9,10,48,2009.0,9,332,195000.0,195000.0,2,0,1,0,0,0,1,0,195000.0
1130,3.8,22,74,1986.0,7,58,94000.0,158000.0,2,0,1,1,0,0,0,0,125500.0
1081,3.9,10,48,2009.0,9,332,230000.0,230000.0,2,0,1,0,0,0,1,0,230000.0
48,3.6,0,2,2003.0,7,151,89000.0,117000.0,2,1,0,0,0,0,1,0,101701.0
865,4.1,13,64,1963.0,5,253,79000.0,85000.0,3,0,1,0,0,0,1,0,81500.0
320,4.5,10,68,1998.0,3,274,80000.0,100000.0,3,0,1,0,0,0,1,0,90000.0
60,3.8,24,77,1986.0,0,379,95000.0,131000.0,2,1,0,0,0,0,1,0,111510.0
643,4.0,8,44,1927.0,9,33,96000.0,190000.0,2,0,1,0,0,0,1,0,143096.0
532,4.7,24,77,1986.0,0,13,110000.0,130000.0,3,0,1,0,0,0,1,0,120000.0
1038,4.1,11,47,1853.0,9,144,223000.0,357000.0,3,0,1,0,0,0,1,0,289600.0
701,3.9,24,77,1986.0,0,210,92000.0,121000.0,2,0,1,0,0,0,1,0,106799.0
676,3.9,10,48,2004.0,9,309,177000.0,251000.0,2,0,1,1,0,0,0,0,214004.0
70,3.8,10,48,2006.0,9,345,150000.0,150000.0,2,0,1,1,0,0,0,0,149600.0
781,4.3,9,70,1986.0,0,313,140000.0,180000.0,3,0,1,0,0,0,1,0,160000.0
676,3.9,10,48,2004.0,9,313,253000.0,314000.0,2,0,1,0,0,0,1,0,283500.0
1030,4.8,24,77,1986.0,0,329,70000.0,100000.0,3,0,1,1,0,0,0,0,85000.0
559,4.7,24,77,1986.0,0,316,100000.0,138000.0,3,1,0,0,0,0,1,0,117683.0
260,4.7,24,77,1986.0,0,151,70000.0,70000.0,3,0,1,0,0,0,1,0,70000.0
1200,4.0,10,30,2017.0,0,316,160000.0,200000.0,2,0,1,0,0,0,1,0,180000.0
464,3.3,24,77,1986.0,0,73,85000.0,117000.0,2,1,0,0,0,0,1,0,100130.0
821,4.6,3,16,1746.0,0,300,70000.0,90000.0,3,1,0,0,0,0,1,0,79470.0
30,3.0,10,45,2022.0,3,316,82000.0,123000.0,1,1,0,0,0,0,1,0,100654.0
259,3.8,10,45,1994.0,9,68,62000.0,100000.0,2,1,0,1,0,0,0,0,78750.0
1052,3.7,13,12,1988.0,7,313,119000.0,315000.0,2,0,1,0,0,0,1,0,217000.0
43,4.0,18,8,2008.0,3,56,107000.0,151000.0,2,1,0,0,0,0,0,1,127423.0
210,4.0,7,41,2015.0,0,13,79000.0,114000.0,2,1,0,0,1,0,0,0,94769.0
196,3.1,7,41,1963.0,9,144,144000.0,288000.0,2,0,1,1,0,0,0,0,216300.0
1025,3.8,13,12,1984.0,3,322,89000.0,129000.0,2,1,0,0,0,0,1,0,107008.0
1060,3.8,7,41,2017.0,0,332,135000.0,186000.0,2,1,0,0,0,0,1,0,158517.0
135,5.0,13,12,1986.0,0,384,83000.0,127000.0,3,1,0,0,0,0,1,0,102868.0
361,3.2,11,47,1937.0,8,253,63000.0,110000.0,2,0,1,0,0,0,1,0,86500.0
733,4.2,3,16,1898.0,5,296,75000.0,117000.0,3,1,0,0,0,0,1,0,93543.0
1015,4.0,10,45,2006.0,3,313,159360.0,159360.0,2,0,1,0,0,0,1,0,159360.0
72,3.7,10,48,1994.0,9,331,105000.0,105000.0,2,0,1,0,0,0,1,0,105100.0
98,4.2,10,18,1976.0,9,288,139000.0,183000.0,3,1,0,1,0,0,0,0,159526.0
1143,3.7,24,77,1986.0,3,19,84000.0,120000.0,2,1,0,0,0,0,1,0,100407.0
384,4.1,10,48,2013.0,0,109,126000.0,140000.0,3,0,1,0,0,0,1,0,133000.0
259,3.8,10,45,1994.0,9,393,66000.0,98000.0,2,1,0,0,0,0,1,0,80399.0
677,3.7,24,77,1986.0,0,73,83000.0,115000.0,2,1,0,0,1,0,0,0,97718.0
407,3.6,24,77,1986.0,0,313,100000.0,130000.0,2,0,1,0,0,0,1,0,115000.0
19,4.3,16,37,1986.0,4,373,101000.0,142000.0,3,1,0,0,0,0,1,0,119788.0
206,3.7,21,78,1993.0,9,318,109000.0,146000.0,2,1,0,1,0,0,0,0,125747.0
337,4.3,5,0,1972.0,4,128,72000.0,112000.0,3,1,0,0,0,0,1,0,90082.0
715,4.0,6,55,1986.0,0,253,75000.0,85000.0,2,0,1,0,0,0,1,0,80000.0
382,3.7,5,32,1968.0,8,41,97000.0,123000.0,2,1,0,0,0,0,1,0,109136.0
169,4.2,13,12,1914.0,8,33,93000.0,212000.0,3,0,1,0,1,0,0,0,152650.0
