employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,estimator
Parsons,4.0,Information Technology,Information Technology Support Services,1944.0,$1 to $5 billion (USD),Data Scientist,Remote,100000.0,176000.0,138050.0,Employer
TriNet,3.7,Management & Consulting,Business Consulting,1988.0,$1 to $5 billion (USD),Data Scientist,Remote,76000.0,182000.0,129200.0,Employer
Cotiviti,3.7,Information Technology,Information Technology Support Services,1979.0,$500 million to $1 billion (USD),Data Scientist I,Remote,93000.0,109000.0,101000.0,Employer
Alliant Credit Union,3.3,Financial Services,Banking & Lending,1935.0,$5 to $25 million (USD),Data Scientist - Hybrid,"Chicago, IL",115000.0,142000.0,127549.0,Glassdoor
"NextDeavor, Inc.",4.5,,,,Unknown / Non-Applicable,"Data Scientist, Product Insights","San Francisco, CA",172800.0,202809.59999999998,187795.2,Employer
Infosys,3.2,Information Technology,Information Technology Support Services,1981.0,$10+ billion (USD),Lead Data Scientist,"Raleigh, NC",93000.0,126000.0,108046.0,Glassdoor
Diverse Team LLC,4.0,,,,Unknown / Non-Applicable,Data Scientist/ Annotator (Fulltime),"Alpharetta, GA",100000.0,100000.0,100000.0,Employer
"InnovaSystems, A Cydecor Company",4.7,,,,,Data Scientist,"Arlington, VA",110000.0,130000.0,120000.0,Employer
"University of California, Santa Cruz",4.1,Education,Colleges & Universities,1965.0,$100 to $500 million (USD),Data Scientist,"Monterey, CA",72000.0,72000.0,71500.0,Employer
Agile Tech Labs,5.0,,,,Unknown / Non-Applicable,Sr. Data Analyst,Remote,105600.0,115200.0,110400.0,Employer
Fabletics,4.1,Information Technology,Internet & Web Services,2013.0,Unknown / Non-Applicable,Data Scientist,"El Segundo, CA",126000.0,140000.0,133000.0,Employer
Vicinitas Therapeutics,3.9,,,,Unknown / Non-Applicable,Bioinformatics Scientist/ Data Scientist,United States,110000.0,135000.0,122500.0,Employer
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993.0,$5 to $10 billion (USD),"Data Scientist, Autonomous Vehicle Infrastructure Analytics","Santa Clara, CA",168000.0,288000.0,227750.0,Employer
Fooda,3.8,Information Technology,Information Technology Support Services,2011.0,Less than $1 million (USD),Data Scientist,"Chicago, IL",87000.0,122000.0,103020.0,Glassdoor
TPN,4.1,Media & Communication,Advertising & Public Relations,1984.0,Unknown / Non-Applicable,Senior Data Analyst,"Dallas, TX",90000.0,110000.0,100000.0,Employer
JY Systems LLC,3.7,,,,Unknown / Non-Applicable,Data Scientist Level 2,"Fort Meade, MD",77000.0,107000.0,90765.0,Glassdoor
Schlumberger,4.1,"Energy, Mining & Utilities",Energy & Utilities,1926.0,$10+ billion (USD),Senior Data Scientist,"Menlo Park, CA",190000.0,230000.0,210000.0,Employer
Charlotte's Web,2.8,Manufacturing,Consumer Product Manufacturing,2009.0,Unknown / Non-Applicable,eCommerce Data Scientist,"Louisville, CO",110000.0,118000.0,113750.0,Employer
Itero Group,4.7,Information Technology,Information Technology Support Services,2017.0,Unknown / Non-Applicable,Machine Learning Engineer,"McLean, VA",104000.0,145000.0,123065.0,Glassdoor
Twinn Intelligence Group,5.0,Information Technology,Enterprise Software & Network Solutions,2017.0,$1 to $5 million (USD),DATA Scientist,"Bethesda, MD",195000.0,195000.0,195000.0,Employer
Divi Technologies,3.8,,,,,Data Scientist,Remote,140000.0,150000.0,145000.0,Employer
FalconSmartIT,4.3,,,,Unknown / Non-Applicable,Senior Data Scientist for eComm Analytics,"Bentonville, AR",96000.0,130000.0,111988.0,Glassdoor
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Data Scientist - OTCHS,"New York, NY",83000.0,175000.0,129008.0,Employer
"Postal.io, Inc.",4.4,Information Technology,Software Development,2019.0,Unknown / Non-Applicable,Data Scientist,"San Luis Obispo, CA",86000.0,132000.0,106167.0,Glassdoor
GTA (Global Technology Associates),4.7,,,,Unknown / Non-Applicable,Data Scientist,"Reston, VA",105000.0,142000.0,121948.0,Glassdoor
SentiLink,5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Senior Data Scientist,Remote,180000.0,210000.0,195000.0,Employer
